580564800,44061035,43799105,44323624,44258110,44258531
,,,,,
580565400,44126571,43930177,44454701,44323662,44324067
,,,,,
580566000,44257643,44061249,44520237,44454734,44455139
,,,,,
580566600,44388719,44126785,44651309,44520270,44586220
,,,,,
580567200,44454266,44192331,44782381,44651342,44651768
,,,,,
580567800,44519809,44257878,44847921,44716878,44782849
,,,,,
580568400,44519820,44323417,44847921,44716885,44782849
,,,,,
580569000,44519820,44323421,44847924,44716882,44782849
,,,,,
580569600,44650896,44454496,44979012,44913512,44979457
,,,,,
580570200,44847504,44651107,45175624,45110127,45176083
,,,,,
580570800,45044112,44913251,45437774,45372271,45438238
,,,,,
580571400,45175184,45044323,45634382,45503346,45700394
,,,,,
580572000,45240720,45109859,45699918,45568901,45700412
,,,,,
580572600,45240720,45109859,45699918,45568911,45700412
,,,,,
580573200,45306256,45109866,45765454,45568911,45765948
,,,,,
580573800,45371792,45240952,45896526,45765519,45897020
,,,,,
580574400,45699472,45503110,46224226,46093199,46290253
,,,,,
580575000,46158245,45896326,46617452,46420898,46814553
,,,,,
580575600,46617012,46224036,46945135,46748591,47142256
,,,,,
580576200,47010228,46682792,47207292,47010735,47404406
,,,,,
580576800,47337908,47010499,47403919,47207350,47601019
,,,,,
580577400,47534516,47207114,47534991,47403983,47732106
,,,,,
580578000,47665588,47338182,47600527,47469519,47797650
,,,,,
580578600,47731124,47403722,47666063,47469519,47863186
,,,,,
580579200,47731142,47403722,47666063,47535061,47863186
,,,,,
580579800,47796695,47469258,47731599,47535074,47994258
,,,,,
580580400,47862231,47600330,47731599,47600619,48059803
,,,,,
580581000,47927767,47600330,47731599,47666159,48125344
,,,,,
580581600,47862231,47600330,47731599,47600623,48059794
,,,,,
580582200,48058839,47731402,47797135,47731695,48190880
,,,,,
580582800,48058839,47862474,47862671,47797231,48256428
,,,,,
580583400,47993303,47862477,47862671,47862776,48321967
,,,,,
580584000,47862231,47862477,47862671,47797240,48256431
,,,,,
580584600,47796695,47796938,47797135,47797249,48190895
,,,,,
580585200,47665623,47665866,47731599,47666165,48059823
,,,,,
580585800,47534534,47534794,47600527,47535087,47797670
,,,,,
580586400,47403444,47403722,47469455,47469551,47666592
,,,,,
580587000,47403444,47338186,47534991,47535096,47666587
,,,,,
580587600,47272372,47207114,47469455,47469551,47601056
,,,,,
580588200,47075764,47010502,47272847,47272943,47404437
,,,,,
580588800,46813620,46879413,47076239,47076335,47142290
,,,,,
580589400,46617012,46682792,46879628,46879727,46945682
,,,,,
580590000,46354868,46420648,46683007,46683109,46683530
,,,,,
580590600,46158260,46289576,46420847,46420946,46421374
,,,,,
580591200,45961652,46092968,46289775,46289871,46224758
,,,,,
580591800,45830580,45961882,46093167,46093263,46028150
,,,,,
580592400,45568407,45765254,45962095,45896655,45897078
,,,,,
580593000,45371792,45568646,45765487,45765583,45634934
,,,,,
580593600,45240720,45437574,45503327,45503426,45438323
,,,,,
580594200,45044112,45240966,45306722,45306799,45241703
,,,,,
580594800,44847504,45044341,45175634,45110191,45045081
,,,,,
580595400,44650896,44847736,44913486,44913583,44848473
,,,,,
580596000,44388752,44651107,44651342,44651439,44520793
,,,,,
580596600,44192144,44454499,44454731,44389282,44324164
,,,,,
580597200,43995536,44257891,44192584,44192658,44062017
,,,,,
580597800,43798928,44061277,43995949,43996047,43865404
,,,,,
580598400,43602287,43864665,43799341,43799439,43668796
,,,,,
580599000,43405675,43668040,43602733,43602831,43472176
,,,,,
580599600,43209067,43471425,43406125,43406213,43210017
,,,,,
580600200,43012459,43274817,43209517,43209583,43078942
,,,,,
580600800,42881387,43143745,43012906,43012975,42882334
,,,,,
580601400,42684779,42947137,42881808,42881903,42751251
,,,,,
580602000,42553707,42816065,42750732,42685295,42620164
,,,,,
580602600,42422617,42684975,42619660,42554210,42423553
,,,,,
580603200,42291530,42553893,42488588,42423118,42292481
,,,,,
580603800,42160455,42422814,42357516,42292046,42161409
,,,,,
580604400,42029383,42291742,42226444,42226510,42030331
,,,,,
580605000,41963847,42226206,42095372,42095438,41964795
,,,,,
580605600,41832775,42095134,42029836,41964366,41833699
,,,,,
580606200,41701703,41964062,41898761,41898830,41702627
,,,,,
580606800,41570631,41898526,41833205,41767758,41571555
,,,,,
580607400,41505095,41767443,41702127,41636673,41506019
,,,,,
580608000,41439559,41701907,41571051,41571117,41440483
,,,,,
580608600,41374023,41570818,41505515,41440045,41309411
,,,,,
580609200,41242951,41505278,41439979,41374509,41243875
,,,,,
580609800,41242951,41439739,41374443,41308973,41178330
,,,,,
580610400,41111879,41374203,41308907,41243437,41112788
,,,,,
580611000,41111879,41308667,41243371,41177901,41047255
,,,,,
580611600,41046343,41243131,41177835,41112365,40981713
,,,,,
580612200,40980807,41177595,41112299,41046829,40916183
,,,,,
580612800,40915271,41112059,41046763,40981293,40850638
,,,,,
580613400,40849735,41046523,40981227,40915757,40785093
,,,,,
580614000,40784199,40980987,40915691,40850221,40785093
,,,,,
580614600,40784199,40915451,40850155,40850221,40719557
,,,,,
580615200,40718663,40849915,40850155,40784685,40654021
,,,,,
580615800,40653127,40849915,40784619,40719146,40588485
,,,,,
580616400,40653127,40784379,40719083,40719140,40588485
,,,,,
580617000,40587587,40718843,40719083,40653597,40522949
,,,,,
580617600,40587583,40718839,40653547,40588054,40522949
,,,,,
580618200,40522044,40653303,40653547,40588044,40457413
,,,,,
580618800,40456500,40587760,40588011,40522508,40457413
,,,,,
580619400,40456485,40587757,40522475,40522508,40391877
,,,,,
580620000,40390946,40522214,40522475,40456972,40326341
,,,,,
